Client Id,Title,User Name,First Name,Last Name,Email,Phone,Role,Eligible,Venue,Special Arrangement,Reason for Special Arrangement,Authentication Method,Booking Status,Password,Deleted
CIO12001,MR,CandidatePFM12001,Candidate,PFTMM,CandidatePFM12001@yopmail.com,8225568524,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@123,0
CIO12002,MR,CandidatePFM12002,Candidate,PFTMM,CandidatePFM12002@yopmail.com,8225568525,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@124,0
CIO12003,MR,CandidatePFM12003,Candidate,PFTMM,CandidatePFM12003@yopmail.com,8225568526,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@125,0
CIO12004,MR,CandidatePFM12004,Candidate,PFTMM,CandidatePFM12004@yopmail.com,8225568527,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@126,0
CIO12005,MR,CandidatePFM12005,Candidate,PFTMM,CandidatePFM12005@yopmail.com,8225568528,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@127,0
CIO12006,MR,CandidatePFM12006,Candidate,PFTMM,CandidatePFM12006@yopmail.com,8225568529,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@128,0
CIO12007,MR,CandidatePFM12007,Candidate,PFTMM,CandidatePFM12007@yopmail.com,8225568530,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@129,0
CIO12008,MR,CandidatePFM12008,Candidate,PFTMM,CandidatePFM12008@yopmail.com,8225568531,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@130,0
CIO12009,MR,CandidatePFM12009,Candidate,PFTMM,CandidatePFM12009@yopmail.com,8225568532,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@131,0
CIO12010,MR,CandidatePFM12010,Candidate,PFTMM,CandidatePFM12010@yopmail.com,8225568533,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@132,0
CIO12011,MR,CandidatePFM12011,Candidate,PFTMM,CandidatePFM12011@yopmail.com,8225568534,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@133,0
CIO12012,MR,CandidatePFM12012,Candidate,PFTMM,CandidatePFM12012@yopmail.com,8225568535,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@134,0
CIO12013,MR,CandidatePFM12013,Candidate,PFTMM,CandidatePFM12013@yopmail.com,8225568536,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@135,0
CIO12014,MR,CandidatePFM12014,Candidate,PFTMM,CandidatePFM12014@yopmail.com,8225568537,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@136,0
CIO12015,MR,CandidatePFM12015,Candidate,PFTMM,CandidatePFM12015@yopmail.com,8225568538,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@137,0
CIO12016,MR,CandidatePFM12016,Candidate,PFTMM,CandidatePFM12016@yopmail.com,8225568539,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@138,0
CIO12017,MR,CandidatePFM12017,Candidate,PFTMM,CandidatePFM12017@yopmail.com,8225568540,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@139,0
CIO12018,MR,CandidatePFM12018,Candidate,PFTMM,CandidatePFM12018@yopmail.com,8225568541,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@140,0
CIO12019,MR,CandidatePFM12019,Candidate,PFTMM,CandidatePFM12019@yopmail.com,8225568542,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@141,0
CIO12020,MR,CandidatePFM12020,Candidate,PFTMM,CandidatePFM12020@yopmail.com,8225568543,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@142,0
CIO12021,MR,CandidatePFM12021,Candidate,PFTMM,CandidatePFM12021@yopmail.com,8225568544,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@143,0
CIO12022,MR,CandidatePFM12022,Candidate,PFTMM,CandidatePFM12022@yopmail.com,8225568545,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@144,0
CIO12023,MR,CandidatePFM12023,Candidate,PFTMM,CandidatePFM12023@yopmail.com,8225568546,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@145,0
CIO12024,MR,CandidatePFM12024,Candidate,PFTMM,CandidatePFM12024@yopmail.com,8225568547,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@146,0
CIO12025,MR,CandidatePFM12025,Candidate,PFTMM,CandidatePFM12025@yopmail.com,8225568548,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@147,0
CIO12026,MR,CandidatePFM12026,Candidate,PFTMM,CandidatePFM12026@yopmail.com,8225568549,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@148,0
CIO12027,MR,CandidatePFM12027,Candidate,PFTMM,CandidatePFM12027@yopmail.com,8225568550,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@149,0
CIO12028,MR,CandidatePFM12028,Candidate,PFTMM,CandidatePFM12028@yopmail.com,8225568551,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@150,0
CIO12029,MR,CandidatePFM12029,Candidate,PFTMM,CandidatePFM12029@yopmail.com,8225568552,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@151,0
CIO12030,MR,CandidatePFM12030,Candidate,PFTMM,CandidatePFM12030@yopmail.com,8225568553,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@152,0
CIO12031,MR,CandidatePFM12031,Candidate,PFTMM,CandidatePFM12031@yopmail.com,8225568554,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@153,0
CIO12032,MR,CandidatePFM12032,Candidate,PFTMM,CandidatePFM12032@yopmail.com,8225568555,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@154,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
